Ligand,Binding Affinity,rmsd/ub, rmsd/lb
7jtl_10154_uff_E=484.53,-7.8,0.0,0.0
7jtl_10154_uff_E=484.53,-7.8,5.569,2.702
7jtl_10154_uff_E=484.53,-7.5,5.619,2.985
7jtl_10154_uff_E=484.53,-7.5,5.371,2.737
7jtl_10154_uff_E=484.53,-7.5,6.616,2.648
7jtl_10154_uff_E=484.53,-7.3,5.565,3.064
7jtl_10154_uff_E=484.53,-7.3,5.268,1.831
7jtl_10154_uff_E=484.53,-7.2,14.542,12.005
7jtl_10154_uff_E=484.53,-7.0,6.315,2.906
7jtl_19009_uff_E=523.49,-7.9,0.0,0.0
7jtl_19009_uff_E=523.49,-7.7,8.359,1.157
7jtl_19009_uff_E=523.49,-7.5,8.597,3.878
7jtl_19009_uff_E=523.49,-7.4,6.754,3.791
7jtl_19009_uff_E=523.49,-7.1,8.366,1.874
7jtl_19009_uff_E=523.49,-6.8,20.448,19.179
7jtl_19009_uff_E=523.49,-6.7,22.232,19.458
7jtl_19009_uff_E=523.49,-6.6,18.386,15.223
7jtl_19009_uff_E=523.49,-6.6,21.582,19.383
7jtl_5280462_uff_E=222.28,-6.0,0.0,0.0
7jtl_5280462_uff_E=222.28,-5.9,22.559,20.499
7jtl_5280462_uff_E=222.28,-5.8,12.475,10.715
7jtl_5280462_uff_E=222.28,-5.6,2.993,2.014
7jtl_5280462_uff_E=222.28,-5.6,3.336,1.546
7jtl_5280462_uff_E=222.28,-5.6,8.692,5.361
7jtl_5280462_uff_E=222.28,-5.5,9.026,6.609
7jtl_5280462_uff_E=222.28,-5.4,11.782,8.177
7jtl_5280462_uff_E=222.28,-5.0,35.749,34.023
